vehicle,make,model,model_year,component,service_theme,complaint_count,recall_count,priority_score,priority,suggested_owner,sla,recommended_action,evidence_sample
2021 Toyota Camry,Toyota,Camry,2021,UNKNOWN OR OTHER,Safety-critical control issue,2,0,70,Medium,Customer Support Intake,3 business days,Track trend weekly and create support macro or service bulletin candidate if volume grows.,SRS Airbag
2021 Tesla Model 3,Tesla,Model 3,2021,FUEL,Safety-critical control issue,1,0,70,Medium,Safety & Compliance + Parts Planning,3 business days,Track trend weekly and create support macro or service bulletin candidate if volume grows.,This is a complaint about the unacceptable fire risk that affects all Teslas due to the dangerous battery chemistry and the vulnerability to impact damage that can trigger an instantaneous fire . The VIN of a random Tesla has been used. This problem affects every Tesla. Here is a video of a test conducted by a European testing authority which shows the Tesla igniting almost immediately after a deliberate crash that only caused a minor strike to the underside. https://www.youtube.com/watch?v=QRDCKfCdh90 When NHTSA and many other testing authorities perform crash tests on Teslas they should do s
2021 Toyota Camry,Toyota,Camry,2021,AIR BAGS,Safety-critical control issue,74,0,69,Medium,Safety & Compliance,3 business days,Track trend weekly and create support macro or service bulletin candidate if volume grows.,"The contact owns a 2021 Toyota Camry. The contact received notification of NHTSA Campaign Number: 23V865000 (Air Bags); however, the part to do the recall repair was not yet available. The contact stated that the manufacturer had exceeded a reasonable amount of time for the recall repair. The dealer was made aware of the issue and confirmed that parts were not yet available. The manufacturer was made aware of the issue but provided no assistance. The contact had not experienced a failure."
2021 Tesla Model 3,Tesla,Model 3,2021,VEHICLE SPEED CONTROL,Safety-critical control issue,70,0,69,Medium,Customer Support Intake,3 business days,Track trend weekly and create support macro or service bulletin candidate if volume grows.,"Incident Details: • Date of Incident: [XXX] • Time: [XXX] • Location: San antonio, Tx • Weather/Road Conditions: Clear, dry highway; 90 F • Speed: 60 mph; • Description: while driving my 2021 Tesla Model 3 with Full Self-Driving (FSD) software version 12.6.4 engaged, the vehicle unexpectedly changed lanes without my input, likely due to the Auto Lane Change feature. Immediately after, it braked hard for and unrecognized slowing traffic ahead. This sudden jolt caused immediate pain in my upper back, neck, and chest, which persists. I believe FSD misjudged traffic patterns or road conditions, a "
2021 Tesla Model 3,Tesla,Model 3,2021,STEERING,Safety-critical control issue,24,0,69,Medium,Dealer Service + Product Quality,3 business days,Track trend weekly and create support macro or service bulletin candidate if volume grows.,"After Tesla replaced my high voltage battery in May of 2024 all of the following started to happen. Prior to the replacement none of these issues were present. While driving under normal conditions, my 2021 Tesla suddenly and violently steered into an oncoming lane or toward the roadside without any driver input. The steering wheel physically turned on its own with force. Full Self-Driving was NOT engaged at the time of the incident. This was not lane assist correction and occurred without warning. Importantly, the vehicle did NOT issue a warning at the time of the steering event. A “Take Cont"
2021 Tesla Model 3,Tesla,Model 3,2021,FIRERELATED,General vehicle issue,1,0,65,Medium,Customer Support Intake,3 business days,Track trend weekly and create support macro or service bulletin candidate if volume grows.,"The contact's son owned a 2021 Tesla Model 3. The contact stated that his son was involved in a fatal collision while driving at an undisclosed speed with the autopilot activated. The contact was informed by his son's friend, who was a passenger in the vehicle, that the autopilot malfunctioned, causing the vehicle to inadvertently drive off the road, hit a tree, and then catch fire. An unknown bright orange light was seen on the windshield right before the failure occurred. The contact's son's friend was able to exit the vehicle, but the contact's son was unconscious and was not able to exit t"
2022 Hyundai Tucson,Hyundai,Tucson,2022,TRAILER HITCHES,Driveability / power issue,1,1,65,Medium,Customer Support Intake,3 business days,Track trend weekly and create support macro or service bulletin candidate if volume grows.,"The contact owns a 2022 Hyundai Tucson. The contact stated that while driving at various speeds, the driver’s and passenger’s side turn signals were flashing quickly. No warning light was illuminated. The contact stated that the driver’s side and passenger’s side turn signals failed to properly illuminate. The vehicle was taken to a local dealer, where it was diagnosed with a short-circuited wiring harness, which caused the junction box to fail. The vehicle was not repaired. Upon further investigation, the contact stated that the Part Number: CWF61-AU000; was installed previously by the same l"
2021 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2021,AIR BAGS:FRONTAL,Safety-critical control issue,0,1,65,Medium,Safety & Compliance,3 business days,Track trend weekly and create support macro or service bulletin candidate if volume grows.,"General Motors, LLC. (GM) is recalling certain 2021 Chevrolet Silverado 1500 vehicles. The front driver's side air bag module may be missing one or more metal tabs that secure the plastic air bag cover to the housing."
2021 Honda Civic,Honda,Civic,2021,AIR BAGS:SENSOR:OCCUPANT CLASSIFICATION:FRONT PASSENGER,Safety-critical control issue,0,1,65,Medium,Safety & Compliance,3 business days,Track trend weekly and create support macro or service bulletin candidate if volume grows.,"Honda (American Honda Motor Co.) is recalling certain 2020-2022 Pilot, Accord, Civic sedan, HR-V, Odyssey, 2020 Civic coupe, Fit, 2021-2022 Civic hatchback, 2021 Civic Type R, Insight, 2020-2021 CR-V, CR-V Hybrid, Passport, Ridgeline, Accord Hybrid, 2020 Acura MDX, 2022 Acura MDX, 2020-2022 Acura RDX, and 2020-2021 Acura TLX vehicles. The front passenger seat weight sensor may crack and short circuit, failing to suppress the air bag as intended."
2021 Tesla Model 3,Tesla,Model 3,2021,AIR BAGS:SIDE,Safety-critical control issue,0,1,65,Medium,Safety & Compliance,3 business days,Track trend weekly and create support macro or service bulletin candidate if volume grows.,"Tesla, Inc. (Tesla) is recalling certain 2020-2021, 2023 Model 3 vehicles. The left and/or right side curtain air bag may have been improperly secured to the roof rail, which could result in a twisted air bag. As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard numbers 214, ""Side Impact Protection"" and 226, ""Ejection Mitigation."""
2021 Tesla Model 3,Tesla,Model 3,2021,ELECTRICAL SYSTEM:SOFTWARE,Safety-critical control issue,0,1,65,Medium,Product Quality + Dealer Service,3 business days,Track trend weekly and create support macro or service bulletin candidate if volume grows.,"Tesla, Inc. (Tesla) is recalling certain 2021-2022 Model S and Model X, 2017-2022 Model 3, and 2020-2022 Model Y vehicles. The audible chime may not activate when the vehicle starts and the driver has not buckled their seat belt. As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard number 208, ""Occupant Crash Protection."""
2021 Tesla Model 3,Tesla,Model 3,2021,SEAT BELTS:FRONT:WARNING LIGHT,Safety-critical control issue,0,1,65,Medium,Safety & Compliance,3 business days,Track trend weekly and create support macro or service bulletin candidate if volume grows.,"Tesla, Inc. (Tesla) is recalling certain 2012-2024 Model S, 2015-2024 Model X, 2017-2023 Model 3, and 2020-2023 Model Y vehicles. In the event of an unbelted driver, the seat belt warning light and audible chime may not activate as intended. As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard number 208, ""Occupant Crash Protection."""
2021 Tesla Model 3,Tesla,Model 3,2021,SEAT BELTS:REAR,Safety-critical control issue,0,1,65,Medium,Safety & Compliance,3 business days,Track trend weekly and create support macro or service bulletin candidate if volume grows.,"Tesla, Inc. (Tesla) is recalling certain 2017-2022 Model 3 vehicles. The second-row left seat belt buckle and second-row center seat belt anchor may have been incorrectly reassembled during vehicle service."
2021 Toyota Camry,Toyota,Camry,2021,AIR BAGS:SENSOR:OCCUPANT CLASSIFICATION,Safety-critical control issue,0,1,65,Medium,Safety & Compliance,3 business days,Track trend weekly and create support macro or service bulletin candidate if volume grows.,"Toyota Motor Engineering & Manufacturing (Toyota) is recalling certain 2020-2021 Avalon, Avalon Hybrid, Corolla, Highlander, Highlander Hybrid, RAV4, RAV4 Hybrid, Lexus ES350, Lexus RX350, Lexus RX450H, 2021 Sienna Hybrid, Lexus ES250, 2020-2022 Camry, Camry Hybrid, and ES300H vehicles. A short circuit may develop in the Occupant Classification System (OCS) sensor, preventing the front passenger air bag from deploying."
2022 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2022,AIR BAGS: AIR BAG,Safety-critical control issue,0,1,65,Medium,Safety & Compliance,3 business days,Track trend weekly and create support macro or service bulletin candidate if volume grows.,"General Motors, LLC (GM) is recalling certain 2022 Chevrolet Silverado 1500 vehicles. The sensing diagnostic module (SDM) was left in manufacturing mode and not activated at the assembly plant prior to shipment. As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard number 208, ""Occupant Crash Protection."""
2022 Honda Civic,Honda,Civic,2022,AIR BAGS:SENSOR:OCCUPANT CLASSIFICATION:FRONT PASSENGER,Safety-critical control issue,0,1,65,Medium,Safety & Compliance,3 business days,Track trend weekly and create support macro or service bulletin candidate if volume grows.,"Honda (American Honda Motor Co.) is recalling certain 2020-2022 Pilot, Accord, Civic sedan, HR-V, Odyssey, 2020 Civic coupe, Fit, 2021-2022 Civic hatchback, 2021 Civic Type R, Insight, 2020-2021 CR-V, CR-V Hybrid, Passport, Ridgeline, Accord Hybrid, 2020 Acura MDX, 2022 Acura MDX, 2020-2022 Acura RDX, and 2020-2021 Acura TLX vehicles. The front passenger seat weight sensor may crack and short circuit, failing to suppress the air bag as intended."
2022 Honda Civic,Honda,Civic,2022,STEERING:RACK AND PINION,Safety-critical control issue,0,1,65,Medium,Dealer Service + Product Quality,3 business days,Track trend weekly and create support macro or service bulletin candidate if volume grows.,"Honda (American Honda Motor Co.) is recalling certain 2022-2024 Civic 4-door and Civic 5-door vehicles that received a replacement power steering rack as part of a service repair. The steering rack may have been incorrectly assembled, which can allow the tire to chafe against the lower suspension or tie rod end, possibly resulting in tire damage."
2022 Tesla Model 3,Tesla,Model 3,2022,ELECTRICAL SYSTEM:SOFTWARE,Safety-critical control issue,0,1,65,Medium,Product Quality + Dealer Service,3 business days,Track trend weekly and create support macro or service bulletin candidate if volume grows.,"Tesla, Inc. (Tesla) is recalling certain 2021-2022 Model S and Model X, 2017-2022 Model 3, and 2020-2022 Model Y vehicles. The audible chime may not activate when the vehicle starts and the driver has not buckled their seat belt. As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard number 208, ""Occupant Crash Protection."""
2022 Tesla Model 3,Tesla,Model 3,2022,SEAT BELTS:FRONT:WARNING LIGHT,Safety-critical control issue,0,1,65,Medium,Safety & Compliance,3 business days,Track trend weekly and create support macro or service bulletin candidate if volume grows.,"Tesla, Inc. (Tesla) is recalling certain 2012-2024 Model S, 2015-2024 Model X, 2017-2023 Model 3, and 2020-2023 Model Y vehicles. In the event of an unbelted driver, the seat belt warning light and audible chime may not activate as intended. As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard number 208, ""Occupant Crash Protection."""
2022 Tesla Model 3,Tesla,Model 3,2022,SEAT BELTS:REAR,Safety-critical control issue,0,1,65,Medium,Safety & Compliance,3 business days,Track trend weekly and create support macro or service bulletin candidate if volume grows.,"Tesla, Inc. (Tesla) is recalling certain 2017-2022 Model 3 vehicles. The second-row left seat belt buckle and second-row center seat belt anchor may have been incorrectly reassembled during vehicle service."
2022 Toyota Camry,Toyota,Camry,2022,AIR BAGS:SENSOR:OCCUPANT CLASSIFICATION,Safety-critical control issue,0,1,65,Medium,Safety & Compliance,3 business days,Track trend weekly and create support macro or service bulletin candidate if volume grows.,"Toyota Motor Engineering & Manufacturing (Toyota) is recalling certain 2020-2021 Avalon, Avalon Hybrid, Corolla, Highlander, Highlander Hybrid, RAV4, RAV4 Hybrid, Lexus ES350, Lexus RX350, Lexus RX450H, 2021 Sienna Hybrid, Lexus ES250, 2020-2022 Camry, Camry Hybrid, and ES300H vehicles. A short circuit may develop in the Occupant Classification System (OCS) sensor, preventing the front passenger air bag from deploying."
2021 Honda Civic,Honda,Civic,2021,SERVICE BRAKES,Safety-critical control issue,10,1,62,Medium,Dealer Service + Product Quality,3 business days,Track trend weekly and create support macro or service bulletin candidate if volume grows.,"The contact owns a 2021 Honda Civic. The contact stated that while driving approximately 37 MPH, the vehicle stalled. The check engine, master cylinder, and adaptive cruise control warning lights were illuminated. The vehicle was taken to a dealer, where it was diagnosed and determined that the brake master cylinder, fuel pump, and ignition coils needed to be replaced. The contact researched and was made aware of an unknown recall; however, the VIN was not under recall. The vehicle was not repaired. The manufacturer was not notified of the failure. The failure mileage was approximately 108,000"
2021 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2021,ENGINE,Driveability / power issue,204,0,60,Medium,Product Quality,3 business days,Track trend weekly and create support macro or service bulletin candidate if volume grows.,"Engine Temperature fluctuates. Check engine light comes on, prompt on dash will say engine is overheating. Engine fan stays on high. Code on scanner states Coolant Control Valve. GM has issued special coverage on this exact issue. However, they tell me my truck is not covered. I am very upset with GM as they are failing to address a known concern with my vehicle."
2021 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2021,POWER TRAIN,Driveability / power issue,169,0,60,Medium,Product Quality,3 business days,Track trend weekly and create support macro or service bulletin candidate if volume grows.,"I was accelerating to 45MPH on a main road. My truck was running just fine. At about 45 MPH it felt like I hit a wall, and my truck started to rapidly decelerate and seemed to be downshifting very hard. A reduced engine power warning appeared in the message display, and the check engine light illuminated and began to flash. I luckly the car behind me was able to change lanes quickly and missed me and I was able to pull off the main road and turn off the truck. I let it sit for five minutes and restarted the truck. When I did, the truck seemed to drive at 25 MPH, and I kept it at that speed and"
2022 Tesla Model 3,Tesla,Model 3,2022,FORWARD COLLISION AVOIDANCE,Safety-critical control issue,159,0,60,Medium,Customer Support Intake,3 business days,Track trend weekly and create support macro or service bulletin candidate if volume grows.,Then forward collision warning system inaccurately reported and reacted to a park car that was not in my lane. This caused my car to slam the brakes and subsequently almost cause an accident behind me. This also raised my car insurance premium so they can charge me more money
2022 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2022,ENGINE,Driveability / power issue,124,0,60,Medium,Product Quality,3 business days,Track trend weekly and create support macro or service bulletin candidate if volume grows.,"Warning lights came on while driving down I-43 in Walworth county, WI. The ""hot oil"" light stayed illuminated. The vehicle ran until I stopped on the off ramp where it shut itself down and would not restart. The hazard lights would only work briefly then turn off."
2022 Hyundai Tucson,Hyundai,Tucson,2022,FUEL,Driveability / power issue,51,0,60,Medium,Safety & Compliance + Parts Planning,3 business days,Track trend weekly and create support macro or service bulletin candidate if volume grows.,"I PURCHASED THIS 2022 TUCSON LIMITED HYUNDAI NEW. IT HAS 25,000 MILES ON IT. THE CAR CHECK ENGINE LIGHT CAME ON AND A POWER REDUCTION BEGAN ALONG WITH SHAKING OF THE CAR. I WAS ABLE TO CLEAR THE INTERSECTION SAFELY. I WAS ABLE TO TURN INTO A SAFE SPOT AND SHUT DOWN THE CAR. IT WAS TOWED TO THE DEALER WHO THEN INFORMED ME THAT IT WAS AN INJECTOR KNOW ISSUE FOR THIS YEAR AND WOULD BE COVERED UNDER THE 5 YEAR WARRANTY. HOWEVER, AS THIS IS A ENGINE/POWERTRAIN PROBLEM, IT SHOULD BE COVERED ON THE 100,000/TEN YEAR WARRANTY. A TSB (23-FL-002H-1) ALERT HAD ALREADY BEEN ISSUED, BUT NOT A RECALL. MANY O"
2022 Hyundai Tucson,Hyundai,Tucson,2022,VEHICLE SPEED CONTROL,Safety-critical control issue,4,0,60,Medium,Customer Support Intake,3 business days,Track trend weekly and create support macro or service bulletin candidate if volume grows.,"The contact owns a 2022 Hyundai Tucson. The contact stated that upon shifting to reverse(R) and depressing the brake pedal, the engine revved and the vehicle accelerated unintendedly. The contact continuously depressed the brake pedal, and the vehicle made a 360-degree turn and almost struck three vehicles. The contact was able to stop the vehicle after several attempts, and the contact parked the vehicle. The vehicle was not diagnosed or repaired. The contact stopped driving the vehicle due to safety concerns. The dealer and the manufacturer were not notified of the failure. The failure milea"
2021 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2021,POWER TRAIN:AUTOMATIC TRANSMISSION:CONTROL MODULE:SOFTWARE,Driveability / power issue,0,2,60,Medium,Product Quality,3 business days,Track trend weekly and create support macro or service bulletin candidate if volume grows.,"General Motors, LLC (GM) is recalling certain 2020-2022 Chevrolet Silverado 1500, 2500, 3500, GMC Sierra 1500, 2500, 3500, 2021 Cadillac Escalade, Escalade ESV, Chevrolet Tahoe, Suburban, GMC Yukon, and Yukon XL vehicles equipped with diesel engines. The transmission control valve may fail and cause the rear wheels to lock-up."
2021 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2021,TIRES:TEMPORARY,Safety-critical control issue,0,1,60,Medium,Dealer Service + Parts Planning,3 business days,Track trend weekly and create support macro or service bulletin candidate if volume grows.,"General Motors (GM) is recalling certain 2019-2021 GMC Sierra 1500 and Silverado 1500 vehicles equipped with certain accessory road tires and a 17"" spare tire. The 17"" spare tire provided with the vehicle is not compatible for use with the accessory wheels, which can cause the anti-lock brake system (ABS) to not function properly under certain conditions."
2021 Honda Civic,Honda,Civic,2021,FUEL SYSTEM,General vehicle issue,0,1,60,Medium,Safety & Compliance + Parts Planning,3 business days,Track trend weekly and create support macro or service bulletin candidate if volume grows.,"Honda (American Honda Motor Co.) is recalling certain 2013-2023 Honda Accord, Civic Coupe, Civic Sedan, Civic Hatchback, Civic Type R, CR-V, HR-V, Ridgeline, Odyssey, Acura ILX, MDX, MDX Hybrid, RDX, RLX, TLX, 2019-2022 Honda Insight, Passport, 2020 Honda CR-V Hybrid, 2018-2019 Honda Clarity PHEV, Fit, and 2015-2020 Honda Accord Hybrid, Pilot, Acura NSX vehicles. The fuel pump inside the fuel tank may fail."
2021 Tesla Model 3,Tesla,Model 3,2021,ELECTRICAL SYSTEM: INSTRUMENT CLUSTER,Safety-critical control issue,0,1,60,Medium,Product Quality + Dealer Service,3 business days,Track trend weekly and create support macro or service bulletin candidate if volume grows.,"Tesla, Inc. (Tesla) is recalling certain 2012-2023 Model S, 2016-2024 Model X, 2017-2023 Model 3, 2019-2024 Model Y, and 2024 Cybertruck vehicles. An incorrect font size is displayed on the instrument panel for the Brake, Park, and Antilock Brake System (ABS) warning lights. As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard number 105, ""Hydraulic and Electric Brake Systems"" and 135, ""Light Vehicle Brake Systems."""
2021 Tesla Model 3,Tesla,Model 3,2021,ELECTRICAL SYSTEM:ADAS:AUTONOMOUS,Electrical / software issue,0,2,60,Medium,Product Quality + Dealer Service,3 business days,Track trend weekly and create support macro or service bulletin candidate if volume grows.,"Tesla, Inc. (Tesla) is recalling certain 2016-2022 Model S and Model X, 2017-2022 Model 3, and 2020-2022 Model Y vehicles. The ""rolling stop"" functionality available as part of the Full Self-Driving (Beta) software may allow the vehicle to travel through an all-way stop intersection without first coming to a stop."
2021 Tesla Model 3,Tesla,Model 3,2021,ELECTRICAL SYSTEM:SOFTWARE,Electrical / software issue,0,3,60,Medium,Product Quality + Dealer Service,3 business days,Track trend weekly and create support macro or service bulletin candidate if volume grows.,"Tesla, Inc. (Tesla) is recalling certain 2021-2022 Model 3, Model S, Model X, and 2020-2022 Model Y vehicles. A software error may cause a valve in the heat pump to open unintentionally and trap the refrigerant inside the evaporator, resulting in decreased defrosting performance. As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard number 103, ""Windshield Defrosting and Defogging Systems."""
2021 Tesla Model 3,Tesla,Model 3,2021,FORWARD COLLISION AVOIDANCE: AUTOMATIC EMERGENCY BRAKING,Driveability / power issue,0,1,60,Medium,Customer Support Intake,3 business days,Track trend weekly and create support macro or service bulletin candidate if volume grows.,"Tesla, Inc. (Tesla) is recalling certain 2020-2021 Model 3 and 2021 Model Y vehicles. The fisheye and narrow camera cable terminals were incorrectly installed in the cable harness connector, resulting in swapped camera views."
